Hour,Month,Probability,S.E.,z,p-value,lower,upper,location,outcome
1,1,0.0000387,0.0000125,3.1,0.002,0.0000142,0.0000632,3,1
1,2,0.0012893,0.0003808,3.39,0.001,0.000543,0.0020357,3,1
1,3,0.0023042,0.0006737,3.42,0.001,0.0009839,0.0036246,3,1
1,4,0.0031876,0.0009308,3.42,0.001,0.0013633,0.0050118,3,1
1,5,0.001522,0.0004467,3.41,0.001,0.0006465,0.0023974,3,1
2,1,0.0000508,0.0000162,3.14,0.002,0.0000191,0.0000825,3,1
2,2,0.0014585,0.0004293,3.4,0.001,0.0006171,0.0023,3,1
2,3,0.0025598,0.000746,3.43,0.001,0.0010977,0.004022,3,1
2,4,0.0036203,0.0010536,3.44,0.001,0.0015552,0.0056854,3,1
2,5,0.0017319,0.0005066,3.42,0.001,0.000739,0.0027248,3,1
3,1,0.0000727,0.000023,3.16,0.002,0.0000276,0.0001178,3,1
3,2,0.0019801,0.0005788,3.42,0.001,0.0008456,0.0031146,3,1
3,3,0.003417,0.0009884,3.46,0.001,0.0014798,0.0053541,3,1
3,4,0.004931,0.0014248,3.46,0.001,0.0021384,0.0077236,3,1
3,5,0.0023573,0.0006849,3.44,0.001,0.0010149,0.0036998,3,1
4,1,0.000081,0.0000256,3.16,0.002,0.0000308,0.0001313,3,1
4,2,0.0021096,0.0006162,3.42,0.001,0.0009018,0.0033173,3,1
4,3,0.0036051,0.0010419,3.46,0.001,0.0015631,0.0056471,3,1
4,4,0.0052761,0.0015232,3.46,0.001,0.0022906,0.0082616,3,1
4,5,0.002529,0.0007342,3.44,0.001,0.0010899,0.0039681,3,1
5,1,0.0000744,0.0000235,3.16,0.002,0.0000283,0.0001204,3,1
5,2,0.0020147,0.00059,3.41,0.001,0.0008584,0.0031711,3,1
5,3,0.0034921,0.0010108,3.45,0.001,0.0015109,0.0054733,3,1
5,4,0.0050012,0.0014471,3.46,0.001,0.0021649,0.0078374,3,1
5,5,0.0023864,0.0006942,3.44,0.001,0.0010258,0.0037471,3,1
6,1,0.0000365,0.0000116,3.15,0.002,0.0000138,0.0000592,3,1
6,2,0.0010834,0.000319,3.4,0.001,0.0004582,0.0017087,3,1
6,3,0.0019655,0.0005739,3.42,0.001,0.0008406,0.0030904,3,1
6,4,0.0026506,0.0007745,3.42,0.001,0.0011327,0.0041685,3,1
6,5,0.0012607,0.00037,3.41,0.001,0.0005355,0.0019859,3,1
7,1,0.0000158,5.17E-06,3.07,0.002,5.71E-06,0.000026,3,1
7,2,0.0005029,0.000153,3.29,0.001,0.000203,0.0008027,3,1
7,3,0.0009458,0.0002852,3.32,0.001,0.0003868,0.0015048,3,1
7,4,0.0012196,0.0003671,3.32,0.001,0.0005001,0.0019391,3,1
7,5,0.0005805,0.0001754,3.31,0.001,0.0002367,0.0009243,3,1
8,1,6.59E-06,2.21E-06,2.98,0.003,2.26E-06,0.0000109,3,1
8,2,0.0002353,0.0000739,3.19,0.001,0.0000906,0.0003801,3,1
8,3,0.0004593,0.0001429,3.21,0.001,0.0001792,0.0007395,3,1
8,4,0.0005626,0.0001747,3.22,0.001,0.0002203,0.000905,3,1
8,5,0.0002657,0.0000828,3.21,0.001,0.0001034,0.0004281,3,1
9,1,4.57E-06,1.55E-06,2.94,0.003,1.52E-06,7.61E-06,3,1
9,2,0.0001949,0.0000614,3.17,0.002,0.0000745,0.0003152,3,1
9,3,0.0003891,0.0001217,3.2,0.001,0.0001506,0.0006276,3,1
9,4,0.000463,0.0001443,3.21,0.001,0.0001801,0.0007459,3,1
9,5,0.0002174,0.0000681,3.19,0.001,0.000084,0.0003508,3,1
10,1,6.33E-06,2.20E-06,2.88,0.004,2.02E-06,0.0000106,3,1
10,2,0.0003464,0.0001071,3.24,0.001,0.0001365,0.0005563,3,1
10,3,0.0006798,0.0002082,3.27,0.001,0.0002717,0.0010879,3,1
10,4,0.0008393,0.0002566,3.27,0.001,0.0003363,0.0013423,3,1
10,5,0.0003969,0.000122,3.25,0.001,0.0001578,0.000636,3,1
11,1,0.0000231,7.83E-06,2.95,0.003,7.77E-06,0.0000385,3,1
11,2,0.0013619,0.0004015,3.39,0.001,0.000575,0.0021489,3,1
11,3,0.0025898,0.0007549,3.43,0.001,0.0011102,0.0040693,3,1
11,4,0.0033558,0.0009764,3.44,0.001,0.001442,0.0052696,3,1
11,5,0.0015995,0.0004683,3.42,0.001,0.0006816,0.0025173,3,1
12,1,0.000106,0.0000345,3.07,0.002,0.0000384,0.0001736,3,1
12,2,0.0041586,0.0011993,3.47,0.001,0.001808,0.0065092,3,1
12,3,0.0073215,0.0020844,3.51,0,0.0032362,0.0114068,3,1
12,4,0.0103736,0.0029472,3.52,0,0.0045972,0.0161499,3,1
12,5,0.0049981,0.001432,3.49,0,0.0021915,0.0078047,3,1
13,1,0.0002909,0.0000913,3.18,0.001,0.0001119,0.0004699,3,1
13,2,0.0075406,0.0021453,3.51,0,0.0033359,0.0117453,3,1
13,3,0.0123222,0.0034575,3.56,0,0.0055458,0.0190987,3,1
13,4,0.0190786,0.0053241,3.58,0,0.0086436,0.0295137,3,1
13,5,0.0092581,0.0026149,3.54,0,0.0041331,0.0143831,3,1
14,1,0.0005833,0.0001784,3.27,0.001,0.0002335,0.000933,3,1
14,2,0.0114503,0.0032149,3.56,0,0.0051493,0.0177514,3,1
14,3,0.0178683,0.004945,3.61,0,0.0081763,0.0275604,3,1
14,4,0.0293051,0.0080136,3.66,0,0.0135988,0.0450114,3,1
14,5,0.0143859,0.003998,3.6,0,0.0065499,0.0222219,3,1
15,1,0.0008329,0.0002539,3.28,0.001,0.0003352,0.0013306,3,1
15,2,0.0148191,0.0041349,3.58,0,0.0067149,0.0229232,3,1
15,3,0.0224138,0.0061561,3.64,0,0.0103482,0.0344794,3,1
15,4,0.0381944,0.0103201,3.7,0,0.0179674,0.0584214,3,1
15,5,0.0188658,0.0052033,3.63,0,0.0086674,0.0290642,3,1
16,1,0.000952,0.0002896,3.29,0.001,0.0003844,0.0015196,3,1
16,2,0.0155439,0.0043248,3.59,0,0.0070674,0.0240203,3,1
16,3,0.0228885,0.0062768,3.65,0,0.0105862,0.0351909,3,1
16,4,0.0403698,0.0108579,3.72,0,0.0190887,0.061651,3,1
16,5,0.0199087,0.0054735,3.64,0,0.0091808,0.0306366,3,1
17,1,0.0009913,0.0003012,3.29,0.001,0.0004009,0.0015816,3,1
17,2,0.0152101,0.0042312,3.59,0,0.0069171,0.0235032,3,1
17,3,0.0220354,0.0060434,3.65,0,0.0101907,0.0338802,3,1
17,4,0.0397847,0.0106962,3.72,0,0.0188204,0.0607489,3,1
17,5,0.0196068,0.0053857,3.64,0,0.009051,0.0301626,3,1
18,1,0.0007685,0.000235,3.27,0.001,0.0003079,0.0012292,3,1
18,2,0.0117777,0.0033014,3.57,0,0.005307,0.0182483,3,1
18,3,0.0170022,0.0047065,3.61,0,0.0077776,0.0262267,3,1
18,4,0.0310015,0.0084487,3.67,0,0.0144423,0.0475606,3,1
18,5,0.015171,0.0042047,3.61,0,0.0069299,0.023412,3,1
19,1,0.0003039,0.0000941,3.23,0.001,0.0001194,0.0004883,3,1
19,2,0.0054545,0.0015585,3.5,0,0.0024,0.0085091,3,1
19,3,0.0083341,0.0023568,3.54,0,0.0037149,0.0129532,3,1
19,4,0.0142567,0.0040019,3.56,0,0.006413,0.0221003,3,1
19,5,0.0069666,0.0019729,3.53,0,0.0030997,0.0108335,3,1
20,1,0.0001011,0.0000318,3.18,0.001,0.0000388,0.0001633,3,1
20,2,0.002353,0.0006848,3.44,0.001,0.0010108,0.0036953,3,1
20,3,0.0039161,0.0011281,3.47,0.001,0.001705,0.0061272,3,1
20,4,0.0059737,0.0017159,3.48,0,0.0026106,0.0093368,3,1
20,5,0.0028934,0.0008361,3.46,0.001,0.0012546,0.0045322,3,1
21,1,0.0000718,0.0000227,3.17,0.002,0.0000274,0.0001162,3,1
21,2,0.0018883,0.0005511,3.43,0.001,0.0008082,0.0029684,3,1
21,3,0.0032416,0.0009362,3.46,0.001,0.0014066,0.0050765,3,1
21,4,0.0047457,0.0013673,3.47,0.001,0.0020658,0.0074257,3,1
21,5,0.002293,0.0006647,3.45,0.001,0.0009903,0.0035958,3,1
22,1,0.0000443,0.0000142,3.13,0.002,0.0000165,0.0000721,3,1
22,2,0.0014124,0.0004139,3.41,0.001,0.0006011,0.0022237,3,1
22,3,0.0025022,0.0007262,3.45,0.001,0.0010789,0.0039256,3,1
22,4,0.0035139,0.0010179,3.45,0.001,0.0015189,0.005509,3,1
22,5,0.0016885,0.0004919,3.43,0.001,0.0007243,0.0026527,3,1
23,1,0.0000462,0.0000148,3.13,0.002,0.0000173,0.0000752,3,1
23,2,0.001453,0.0004263,3.41,0.001,0.0006174,0.0022885,3,1
23,3,0.0025817,0.0007499,3.44,0.001,0.001112,0.0040514,3,1
23,4,0.0036007,0.0010444,3.45,0.001,0.0015537,0.0056477,3,1
23,5,0.0017244,0.0005029,3.43,0.001,0.0007387,0.0027101,3,1
24,1,0.0000397,0.0000129,3.08,0.002,0.0000144,0.0000649,3,1
24,2,0.001378,0.0004055,3.4,0.001,0.0005832,0.0021728,3,1
24,3,0.0024266,0.0007067,3.43,0.001,0.0010415,0.0038117,3,1
24,4,0.0034376,0.0010001,3.44,0.001,0.0014775,0.0053978,3,1
24,5,0.0016475,0.0004817,3.42,0.001,0.0007034,0.0025916,3,1
1,1,3.77E-06,2.10E-06,1.8,0.072,-3.36E-07,7.89E-06,4,1
